Offer,Description,Coupon Code,,,Eligible Credit Cards,Eligible Debit Cards
10% Off upto Rs.Rs.300,"Get up to 10% off using BOBCARD Credit cards on orders above Rs.Rs.3000 (max discount Rs.Rs.300). Minimum order value must be Rs.Rs.3000 to get instant discount up to Rs.Rs.300. This voucher can be applied only once per customer and only once for Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25th 2025, 11:59 PM.",BOBCC,,,Prime Bobcard,
10% Off upto Rs.Rs.300,"Get up to 10% off using BOBCARD Credit cards on orders above Rs.Rs.3000 (max discount Rs.Rs.300). Minimum order value must be Rs.Rs.3000 to get instant discount up to Rs.Rs.300. This voucher can be applied only once per customer and only once for Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25th 2025, 11:59 PM.",BOBCC,,,Swavlamban Bobcard,
10% Off upto Rs.Rs.300,"Get up to 10% off using BOBCARD Credit cards on orders above Rs.Rs.3000 (max discount Rs.Rs.300). Minimum order value must be Rs.Rs.3000 to get instant discount up to Rs.Rs.300. This voucher can be applied only once per customer and only once for Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25th 2025, 11:59 PM.",BOBCC,,,IRCTC Bobcard,
10% Off upto Rs.Rs.300,"Get up to 10% off using BOBCARD Credit cards on orders above Rs.Rs.3000 (max discount Rs.Rs.300). Minimum order value must be Rs.Rs.3000 to get instant discount up to Rs.Rs.300. This voucher can be applied only once per customer and only once for Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25th 2025, 11:59 PM.",BOBCC,,,Snapdeal Bobcard,
10% Off upto Rs.Rs.300,"Get up to 10% off using BOBCARD Credit cards on orders above Rs.Rs.3000 (max discount Rs.Rs.300). Minimum order value must be Rs.Rs.3000 to get instant discount up to Rs.Rs.300. This voucher can be applied only once per customer and only once for Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25th 2025, 11:59 PM.",BOBCC,,,Unnati Bobcard,
10% Off upto Rs.Rs.300,"Get up to 10% off using BOBCARD Credit cards on orders above Rs.Rs.3000 (max discount Rs.Rs.300). Minimum order value must be Rs.Rs.3000 to get instant discount up to Rs.Rs.300. This voucher can be applied only once per customer and only once for Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25th 2025, 11:59 PM.",BOBCC,,,Indian Coast Guard Rakshamah Bank of Baroda,
10% Off upto Rs.Rs.300,"Get up to 10% off using BOBCARD Credit cards on orders above Rs.Rs.3000 (max discount Rs.Rs.300). Minimum order value must be Rs.Rs.3000 to get instant discount up to Rs.Rs.300. This voucher can be applied only once per customer and only once for Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25th 2025, 11:59 PM.",BOBCC,,,Bobcard Select,
15% Off upto Rs.Rs.300,"Get up to 15% off using AU Small Finance Bank Debit cards on orders above Rs.Rs.2000 (max discount Rs.Rs.300). Minimum order value must be Rs.Rs.2000 to get instant discount up to Rs.Rs.300. This voucher can be applied only once per customer and only once for Debit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25th 2025, 11:59 PM.",AU15DC,,,,AU Royale World Debit Card
15% Off upto Rs.Rs.300,"Get up to 15% off using AU Small Finance Bank Debit cards on orders above Rs.Rs.2000 (max discount Rs.Rs.300). Minimum order value must be Rs.Rs.2000 to get instant discount up to Rs.Rs.300. This voucher can be applied only once per customer and only once for Debit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25th 2025, 11:59 PM.",AU15DC,,,,AU RuPay Platinum Debit Card
15% Off upto Rs.Rs.300,"Get up to 15% off using AU Small Finance Bank Debit cards on orders above Rs.Rs.2000 (max discount Rs.Rs.300). Minimum order value must be Rs.Rs.2000 to get instant discount up to Rs.Rs.300. This voucher can be applied only once per customer and only once for Debit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25th 2025, 11:59 PM.",AU15DC,,,,AU RuPay Classic Debit Card
15% Off upto Rs.Rs.300,"Get up to 15% off using AU Small Finance Bank Debit cards on orders above Rs.Rs.2000 (max discount Rs.Rs.300). Minimum order value must be Rs.Rs.2000 to get instant discount up to Rs.Rs.300. This voucher can be applied only once per customer and only once for Debit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25th 2025, 11:59 PM.",AU15DC,,,,AU Visa Business Platinum Debit Card
15% Off upto Rs.Rs.300,"Get up to 15% off using AU Small Finance Bank Debit cards on orders above Rs.Rs.2000 (max discount Rs.Rs.300). Minimum order value must be Rs.Rs.2000 to get instant discount up to Rs.Rs.300. This voucher can be applied only once per customer and only once for Debit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25th 2025, 11:59 PM.",AU15DC,,,,AU Mastercard Platinum Debit Card
10% Off upto Rs.Rs.250,"Get a 10% instant discount using Axis Bank Credit cards on orders above Rs.Rs.1999 (max discount Rs.Rs.250). Minimum order value must be Rs.Rs.1999 to get a 10% instant discount up to Rs.Rs.250. This voucher can be applied only once per customer and only once on all Axis Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Sat Dec 7th 2025, 11:59 PM.",AXISCC,,,Axis Bank Horizon Credit Card,
10% Off upto Rs.Rs.250,"Get a 10% instant discount using Axis Bank Credit cards on orders above Rs.Rs.1999 (max discount Rs.Rs.250). Minimum order value must be Rs.Rs.1999 to get a 10% instant discount up to Rs.Rs.250. This voucher can be applied only once per customer and only once on all Axis Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Sat Dec 7th 2025, 11:59 PM.",AXISCC,,,Axis Horizon Mastercard Credit Card,
10% Off upto Rs.Rs.250,"Get a 10% instant discount using Axis Bank Credit cards on orders above Rs.Rs.1999 (max discount Rs.Rs.250). Minimum order value must be Rs.Rs.1999 to get a 10% instant discount up to Rs.Rs.250. This voucher can be applied only once per customer and only once on all Axis Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Sat Dec 7th 2025, 11:59 PM.",AXISCC,,,Airtel Axis Bank RuPay Credit Card,
10% Off upto Rs.Rs.250,"Get a 10% instant discount using Axis Bank Credit cards on orders above Rs.Rs.1999 (max discount Rs.Rs.250). Minimum order value must be Rs.Rs.1999 to get a 10% instant discount up to Rs.Rs.250. This voucher can be applied only once per customer and only once on all Axis Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Sat Dec 7th 2025, 11:59 PM.",AXISCC,,,Fibe Axis Bank Credit Card,
10% Off upto Rs.Rs.250,"Get a 10% instant discount using Axis Bank Credit cards on orders above Rs.Rs.1999 (max discount Rs.Rs.250). Minimum order value must be Rs.Rs.1999 to get a 10% instant discount up to Rs.Rs.250. This voucher can be applied only once per customer and only once on all Axis Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Sat Dec 7th 2025, 11:59 PM.",AXISCC,,,Axis Bank Ace Credit Card,
10% Off upto Rs.Rs.250,"Get a 10% instant discount using Axis Bank Credit cards on orders above Rs.Rs.1999 (max discount Rs.Rs.250). Minimum order value must be Rs.Rs.1999 to get a 10% instant discount up to Rs.Rs.250. This voucher can be applied only once per customer and only once on all Axis Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Sat Dec 7th 2025, 11:59 PM.",AXISCC,,,Axis Bank My Wings Credit Card,
10% Off upto Rs.Rs.250,"Get a 10% instant discount using Axis Bank Credit cards on orders above Rs.Rs.1999 (max discount Rs.Rs.250). Minimum order value must be Rs.Rs.1999 to get a 10% instant discount up to Rs.Rs.250. This voucher can be applied only once per customer and only once on all Axis Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Sat Dec 7th 2025, 11:59 PM.",AXISCC,,,Samsung Axis Bank Signature Credit Card,
10% Off upto Rs.Rs.250,"Get a 10% instant discount using Axis Bank Credit cards on orders above Rs.Rs.1999 (max discount Rs.Rs.250). Minimum order value must be Rs.Rs.1999 to get a 10% instant discount up to Rs.Rs.250. This voucher can be applied only once per customer and only once on all Axis Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Sat Dec 7th 2025, 11:59 PM.",AXISCC,,,Axis Bank Select Credit Card,
10% Off upto Rs.Rs.250,"Get a 10% instant discount using Axis Bank Credit cards on orders above Rs.Rs.1999 (max discount Rs.Rs.250). Minimum order value must be Rs.Rs.1999 to get a 10% instant discount up to Rs.Rs.250. This voucher can be applied only once per customer and only once on all Axis Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Sat Dec 7th 2025, 11:59 PM.",AXISCC,,,Axis Bank Reserve Credit Card,
10% Off upto Rs.Rs.250,"Get a 10% instant discount using Axis Bank Credit cards on orders above Rs.Rs.1999 (max discount Rs.Rs.250). Minimum order value must be Rs.Rs.1999 to get a 10% instant discount up to Rs.Rs.250. This voucher can be applied only once per customer and only once on all Axis Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Sat Dec 7th 2025, 11:59 PM.",AXISCC,,,Axis Bank SpiceJet Voyage Black Credit Card,
10% Off upto Rs.Rs.250,"Get a 10% instant discount using Axis Bank Credit cards on orders above Rs.Rs.1999 (max discount Rs.Rs.250). Minimum order value must be Rs.Rs.1999 to get a 10% instant discount up to Rs.Rs.250. This voucher can be applied only once per customer and only once on all Axis Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Sat Dec 7th 2025, 11:59 PM.",AXISCC,,,Axis Bank Atlas Credit Card,
10% Off upto Rs.Rs.250,"Get a 10% instant discount using Axis Bank Credit cards on orders above Rs.Rs.1999 (max discount Rs.Rs.250). Minimum order value must be Rs.Rs.1999 to get a 10% instant discount up to Rs.Rs.250. This voucher can be applied only once per customer and only once on all Axis Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Sat Dec 7th 2025, 11:59 PM.",AXISCC,,,Axis Bank Aura Credit Card,
10% Off upto Rs.Rs.250,"Get a 10% instant discount using Axis Bank Credit cards on orders above Rs.Rs.1999 (max discount Rs.Rs.250). Minimum order value must be Rs.Rs.1999 to get a 10% instant discount up to Rs.Rs.250. This voucher can be applied only once per customer and only once on all Axis Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Sat Dec 7th 2025, 11:59 PM.",AXISCC,,,Axis Bank Vistara Signature Credit Card,
10% Off upto Rs.Rs.250,"Get a 10% instant discount using Axis Bank Credit cards on orders above Rs.Rs.1999 (max discount Rs.Rs.250). Minimum order value must be Rs.Rs.1999 to get a 10% instant discount up to Rs.Rs.250. This voucher can be applied only once per customer and only once on all Axis Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Sat Dec 7th 2025, 11:59 PM.",AXISCC,,,Axis Bank MY Zone Credit Card,
10% Off upto Rs.Rs.250,"Get a 10% instant discount using Axis Bank Credit cards on orders above Rs.Rs.1999 (max discount Rs.Rs.250). Minimum order value must be Rs.Rs.1999 to get a 10% instant discount up to Rs.Rs.250. This voucher can be applied only once per customer and only once on all Axis Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Sat Dec 7th 2025, 11:59 PM.",AXISCC,,,IndianOil Axis Bank Credit Card,
10% Off upto Rs.Rs.250,"Get a 10% instant discount using Axis Bank Credit cards on orders above Rs.Rs.1999 (max discount Rs.Rs.250). Minimum order value must be Rs.Rs.1999 to get a 10% instant discount up to Rs.Rs.250. This voucher can be applied only once per customer and only once on all Axis Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Sat Dec 7th 2025, 11:59 PM.",AXISCC,,,Axis Bank Titanium Smart Traveller Credit Card,
